company_id,company,country,country_code,region,sector,stage,reference_type,dominant_topics
CMP-001,OpenAI,United States,US,North America,AI Platform,private,real_reference,"AI Agents, Enterprise AI, Generative AI, LLM"
CMP-002,Anthropic,United States,US,North America,AI Platform,private,real_reference,"AI Agents, Enterprise AI, LLM"
CMP-003,Google DeepMind,United States,US,North America,Research Lab,subsidiary,real_reference,"Edge AI, Enterprise AI, LLM, Robotics"
CMP-004,NVIDIA,United States,US,North America,Semiconductors,public,real_reference,"GPU Infrastructure, Inference Optimization, Semiconductors"
CMP-005,Meta AI,United States,US,North America,AI Research,subsidiary,real_reference,"AI Agents, Generative AI, Open Source AI"
CMP-006,Microsoft,United States,US,North America,Cloud + Productivity,public,real_reference,"ASP.NET Core, Azure, Blazor, C# / .NET, Cloud Computing, Developer Tools, Enterprise AI, GitHub Actions, OAuth 2.0 / OpenID Connect, TypeScript"
CMP-007,Hugging Face,United States,US,North America,Open Source AI,private,real_reference,"Developer Tools, MLOps, Open Source AI"
CMP-008,Perplexity,United States,US,North America,AI Search,private,real_reference,"AI Agents, Enterprise AI, LLM"
CMP-009,Scale AI,United States,US,North America,Data + AI Infrastructure,private,real_reference,"AI Agents, Enterprise AI"
CMP-010,Databricks,United States,US,North America,Data Platform,private,real_reference,"Data Engineering, Enterprise AI, MLOps"
CMP-011,Snowflake,United States,US,North America,Data Platform,public,real_reference,"Cloud Computing, Data Engineering, Enterprise AI, SaaS"
CMP-012,AWS,United States,US,North America,Cloud,subsidiary,real_reference,"Cloud Computing, Data Engineering, Enterprise AI"
CMP-013,Cursor,United States,US,North America,Developer Tools,private,real_reference,"AI Agents, Developer Tools"
CMP-014,Replit,United States,US,North America,Developer Tools,private,real_reference,"AI Agents, Automation, Developer Tools"
CMP-015,Windsurf,United States,US,North America,Developer Tools,private,real_reference,"AI Agents, Automation, Developer Tools"
CMP-016,Midjourney,United States,US,North America,Creative AI,private,real_reference,Generative AI
CMP-017,Stability AI,United Kingdom,UK,Europe,Open Source AI,private,real_reference,"Generative AI, MLOps, Open Source AI"
CMP-018,Mistral AI,France,FR,Europe,Foundation Models,private,real_reference,"Enterprise AI, Inference Optimization, LLM, Open Source AI"
CMP-019,CoreWeave,United States,US,North America,Cloud Infrastructure,public,real_reference,"Cloud Computing, GPU Infrastructure, Inference Optimization"
CMP-020,Figure,United States,US,North America,Robotics,private,real_reference,"Robotics, Semiconductors"
CMP-021,CrowdStrike,United States,US,North America,Cybersecurity,public,real_reference,Cybersecurity
CMP-022,Palo Alto Networks,United States,US,North America,Cybersecurity,public,real_reference,"Cybersecurity, Edge AI"
CMP-023,Cloudflare,United States,US,North America,Network Security,public,real_reference,"Cybersecurity, Edge AI"
CMP-024,GitLab,United States,US,North America,DevOps,public,real_reference,"Cloud Computing, DevOps, Developer Tools, SaaS"
CMP-025,MongoDB,United States,US,North America,Database,public,real_reference,"Data Engineering, Developer Tools, SaaS, Vector Databases"
CMP-026,Confluent,United States,US,North America,Streaming Data,public,real_reference,"Apache Kafka, Data Engineering, DevOps"
CMP-027,HashiCorp,United States,US,North America,Infrastructure Automation,public,real_reference,"Automation, Cloud Computing, DevOps, Terraform, Vault"
CMP-028,LangChain,United States,US,North America,AI Frameworks,private,real_reference,"AI Agents, Developer Tools, Open Source AI"
CMP-029,Vercel,United States,US,North America,Developer Platform,private,real_reference,"Cloud Computing, Developer Tools, Next.js, React, TypeScript"
CMP-030,Weaviate,Germany,DE,Europe,Vector Database,private,real_reference,"Open Source AI, Vector Databases"
CMP-031,AgentForge,Singapore,SG,Asia,AI Agents,series_b,synthetic_company,"AI Agents, Automation, Enterprise AI"
CMP-032,SentinelGraph,United Kingdom,UK,Europe,Cybersecurity,series_a,synthetic_company,"AI Agents, Cybersecurity"
CMP-033,EdgeNova,China,CN,Asia,Edge AI,series_b,synthetic_company,"Edge AI, Semiconductors"
CMP-034,Helio Robotics,Japan,JP,Asia,Robotics,series_b,synthetic_company,"Edge AI, Robotics"
CMP-035,ChainSignal,United Arab Emirates,AE,Middle East,Web3,series_a,synthetic_company,Web3
CMP-036,LedgerSpring,Singapore,SG,Asia,Web3,seed,synthetic_company,Web3
CMP-037,OpsFabric,India,IN,Asia,SaaS Automation,series_b,synthetic_company,"Automation, DevOps, SaaS"
CMP-038,VectorNest,Canada,CA,North America,AI Database,series_a,synthetic_company,"Inference Optimization, Vector Databases"
CMP-039,InferOptics,United States,US,North America,Inference Optimization,series_a,synthetic_company,"GPU Infrastructure, Inference Optimization"
CMP-040,Telerik,United States,US,North America,.NET UI Components,subsidiary,real_reference,"ASP.NET Core, Blazor, C# / .NET"
CMP-041,Progress Software,United States,US,North America,Enterprise Software,public,real_reference,C# / .NET
CMP-042,JetBrains,Germany,DE,Europe,Developer Tools,private,real_reference,"Developer Tools, Go, Java, Kotlin, Python, Rust"
CMP-043,Meta,United States,US,North America,Social and Open Source,public,real_reference,"JavaScript, PyTorch, React, React Native, TypeScript"
CMP-044,Google,United States,US,North America,Cloud and Mobile,public,real_reference,"Angular, Dart, Firebase, Flutter, Google Cloud, Kotlin Android, TensorFlow"
CMP-045,Oracle,United States,US,North America,Enterprise Software,public,real_reference,"Cloud Computing, Java, MySQL, Oracle Database"
CMP-046,Automattic,United States,US,North America,CMS,private,real_reference,"PHP, WordPress"
CMP-047,Laravel Holdings,United States,US,North America,PHP Frameworks,private,real_reference,"Laravel, PHP"
CMP-048,Shopify,Canada,CA,North America,Commerce,public,real_reference,"GraphQL, React, Ruby, Shopify"
CMP-049,Mozilla,United States,US,North America,Web Platform,nonprofit,real_reference,"CSS3, HTML5, JavaScript, Rust, WebAssembly"
CMP-050,Amazon,United States,US,North America,Cloud and Commerce,public,real_reference,"AWS, Go, Java, Rust, Serverless Architecture"
CMP-051,CNCF,United States,US,North America,Cloud Native Foundation,nonprofit,real_reference,"ArgoCD, Kubernetes, Prometheus"
CMP-052,Docker,United States,US,North America,Container Tooling,private,real_reference,"Developer Tools, Docker"
CMP-053,Grafana Labs,United States,US,North America,Observability,private,real_reference,"Grafana, Prometheus"
CMP-054,Figma,United States,US,North America,Design Tools,private,real_reference,Figma
CMP-055,OpenJS Foundation,United States,US,North America,Open Source Foundation,nonprofit,real_reference,"JavaScript, jQuery"
CMP-056,IBM,United States,US,North America,Enterprise and Mainframe,public,real_reference,"COBOL, Java, Mainframe COBOL"
CMP-057,Northstar Web Labs,United States,US,North America,Frontend Platforms,series_a,synthetic_company,"Angular, Next.js, React, Vue.js"
CMP-058,MetroUI Systems,United Kingdom,UK,Europe,Design Systems,series_b,synthetic_company,"Bootstrap, Chakra UI, Material Design, Tailwind CSS"
CMP-059,Orbit API Works,United States,US,North America,API Platforms,series_a,synthetic_company,"GraphQL, OpenAPI/Swagger, Webhooks, gRPC"
CMP-060,Cobalt Integration,India,IN,Asia,Enterprise Integration,series_b,synthetic_company,"GraphQL, REST APIs, Webhooks, gRPC"
CMP-061,ByteForge Labs,Germany,DE,Europe,Language Tooling,series_a,synthetic_company,"C# / .NET, C++, Go, Rust"
CMP-062,RustBridge Systems,United States,US,North America,Systems Software,series_b,synthetic_company,"C++, Go, PHP, Rust"
CMP-063,LegacyLift Consulting,United Kingdom,UK,Europe,Legacy Modernization,series_a,synthetic_company,"C++, PHP, Ruby, Rust"
CMP-064,Mainframe Renewal Co,United States,US,North America,Mainframe Services,private,synthetic_company,"C++, PHP, Ruby, Swift"
CMP-065,BluePeak .NET Studio,Canada,CA,North America,.NET Consulting,series_a,synthetic_company,"ColdFusion, FastAPI, RubyOnRails, Spring Boot"
CMP-066,SpringGrid Software,Germany,DE,Europe,Enterprise Java,series_b,synthetic_company,"ColdFusion, Django, FastAPI, Spring Boot"
CMP-067,AsyncRiver,Singapore,SG,Asia,Python API Platforms,seed,synthetic_company,"Django, FastAPI, Flask, Spring Boot"
CMP-068,NodeHarbor,United States,US,North America,Node.js Platforms,series_a,synthetic_company,"Django, Express.js, Flask, Spring Boot"
CMP-069,DataQuarry,United States,US,North America,Analytics Databases,series_b,synthetic_company,"Databricks, Oracle Database, PostgreSQL, Snowflake"
CMP-070,VectorHarbor,Canada,CA,North America,Vector Search,series_a,synthetic_company,"Databricks, MongoDB, Oracle Database, PostgreSQL"
CMP-071,GraphNexus,France,FR,Europe,Graph Data,series_a,synthetic_company,"MongoDB, MySQL, Oracle Database, PostgreSQL"
CMP-072,TimeScaleOps,Germany,DE,Europe,Metrics Data,series_b,synthetic_company,"MongoDB, MySQL, PostgreSQL, Redis"
CMP-073,CloudPilot AI,United States,US,North America,Cloud Automation,series_b,synthetic_company,"AWS, Azure, CloudFormation, Pulumi"
CMP-074,KubeHarbor,Singapore,SG,Asia,Kubernetes Platforms,series_a,synthetic_company,"AWS, Azure, CloudFormation, Google Cloud"
CMP-075,InfraMosaic,India,IN,Asia,Infrastructure as Code,series_a,synthetic_company,"AWS, Azure, Google Cloud, Kubernetes"
CMP-076,EdgeStack Works,Japan,JP,Asia,Edge Infrastructure,series_a,synthetic_company,"Azure, Docker, Google Cloud, Kubernetes"
CMP-077,MobileForge Asia,Singapore,SG,Asia,Mobile Apps,series_a,synthetic_company,"Ionic, Kotlin Android, Swift iOS, Xamarin"
