launch_id,launched_at,company_id,company,product_name,category,topic,upvotes,comments,country,trend_score,sentiment_score,popularity_growth_pct,volatility_metric,funding_estimate_musd,innovation_score,adoption_score,risk_indicator,ai_summary,source_reference
PH-950000,2025-04-04T00:00:00,CMP-097,XRFoundry,XRFoundry Flow,Security,Blockchain Dev,61,10,Japan,22.96,0.063,-14.49,20.2,24.94,87.17,25.0,low,"XRFoundry teams are discussing how blockchain dev is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://producthunt.example.com/posts/950000
PH-950001,2025-06-03T00:00:00,CMP-101,ModelSignal,ModelSignal Flow,Automation,LangChain,145,11,United States,41.62,0.293,3.12,11.23,20.27,77.36,38.41,low,"Analysts note that langchain usage patterns on Jun 03, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://producthunt.example.com/posts/950001
PH-950002,2026-03-19T00:00:00,CMP-036,LedgerSpring,LedgerSpring Studio,Data,Web3,200,46,Singapore,47.62,-0.333,-4.93,21.07,23.81,71.36,44.0,moderate,"Developers are comparing tooling choices around web3 as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://producthunt.example.com/posts/950002
PH-950003,2026-04-06T00:00:00,CMP-016,Midjourney,Midjourney Copilot,Automation,Generative AI,263,47,United States,65.9,0.351,2.28,7.9,28.94,87.29,77.04,low,"Midjourney teams are discussing how generative ai is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://producthunt.example.com/posts/950003
PH-950004,2025-02-18T00:00:00,CMP-031,AgentForge,AgentForge Ops,Security,Automation,264,44,Singapore,48.08,0.303,2.03,7.79,29.14,83.31,74.28,low,"AgentForge teams are discussing how automation is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://producthunt.example.com/posts/950004
PH-950005,2025-11-10T00:00:00,CMP-033,EdgeNova,EdgeNova Flow,Security,Semiconductors,225,33,China,41.05,0.084,-4.5,12.89,21.3,84.22,63.63,low,"Analysts note that semiconductors usage patterns on Nov 10, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://producthunt.example.com/posts/950005
PH-950006,2026-04-13T00:00:00,CMP-018,Mistral AI,Mistral AI Ops,Security,Open Source AI,157,28,France,54.89,0.174,2.19,7.38,13.02,86.51,74.76,low,"Developers are comparing tooling choices around open source ai as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://producthunt.example.com/posts/950006
PH-950007,2025-06-19T00:00:00,CMP-014,Replit,Replit Studio,Infrastructure,Automation,126,35,United States,47.35,0.238,-3.16,10.29,22.44,82.53,73.74,low,"Replit teams are discussing how automation is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://producthunt.example.com/posts/950007
PH-950008,2026-04-03T00:00:00,CMP-107,HeadlessWorks,HeadlessWorks Copilot,Data,Shopify,157,24,France,30.96,-0.078,-7.54,8.78,30.74,63.05,39.24,low,"Developers are comparing tooling choices around shopify as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://producthunt.example.com/posts/950008
PH-950009,2026-03-27T00:00:00,CMP-031,AgentForge,AgentForge Flow,Infrastructure,Automation,224,36,Singapore,57.31,0.009,-4.42,7.62,24.56,82.21,79.03,low,"Developers are comparing tooling choices around automation as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://producthunt.example.com/posts/950009
