funding_event_id,announced_at,company_id,company,country,region,tech_category,round_type,amount_musd,valuation_musd,lead_investor,sentiment_score,trend_score,estimated_hiring_impact_pct,risk_indicator,innovation_score,adoption_score,source_reference
FND-900000,2025-02-09T00:00:00,CMP-001,OpenAI,United States,North America,Generative AI,Growth Round,194.0,1717.88,SoftBank,0.162,63.58,4.02,low,93.57,67.28,https://funding.example.com/900000
FND-900001,2025-04-01T00:00:00,CMP-001,OpenAI,United States,North America,AI Agents,Growth Round,88.19,2331.8,Sequoia,0.38,56.1,2.0,low,90.01,62.91,https://funding.example.com/900001
FND-900002,2025-05-18T00:00:00,CMP-001,OpenAI,United States,North America,AI Agents,Growth Round,184.27,1440.39,Sequoia,0.177,60.85,3.13,low,94.76,73.0,https://funding.example.com/900002
FND-900003,2025-09-02T00:00:00,CMP-001,OpenAI,United States,North America,Generative AI,Tender Offer,177.78,2672.53,SoftBank,0.119,65.12,2.27,low,86.28,70.44,https://funding.example.com/900003
FND-900004,2025-10-28T00:00:00,CMP-001,OpenAI,United States,North America,LLM,Strategic Round,136.28,2405.67,Corporate VC,0.11,67.52,2.13,low,89.91,69.56,https://funding.example.com/900004
FND-900005,2025-11-10T00:00:00,CMP-001,OpenAI,United States,North America,Enterprise AI,Growth Round,191.68,2664.6,General Catalyst,0.269,58.12,2.04,low,80.48,78.79,https://funding.example.com/900005
FND-900006,2026-04-02T00:00:00,CMP-001,OpenAI,United States,North America,Enterprise AI,Tender Offer,109.58,2394.41,Lightspeed,0.288,57.02,2.16,low,81.72,76.42,https://funding.example.com/900006
FND-900007,2025-07-02T00:00:00,CMP-002,Anthropic,United States,North America,AI Agents,Strategic Round,350.0,5036.79,Lightspeed,0.244,61.94,6.93,low,87.86,65.35,https://funding.example.com/900007
FND-900008,2025-07-11T00:00:00,CMP-002,Anthropic,United States,North America,AI Agents,Strategic Round,335.9,8251.31,General Catalyst,0.428,55.77,3.79,low,90.3,68.61,https://funding.example.com/900008
FND-900009,2025-07-15T00:00:00,CMP-002,Anthropic,United States,North America,AI Agents,Strategic Round,107.25,1463.37,Sequoia,0.164,60.42,2.33,low,94.13,65.28,https://funding.example.com/900009
FND-900010,2025-09-03T00:00:00,CMP-002,Anthropic,United States,North America,Enterprise AI,Growth Round,152.57,4226.8,Lightspeed,0.043,55.03,2.0,low,88.4,82.34,https://funding.example.com/900010
