kaggle_activity_id,activity_date,competition_name,topic,company_id,company,country,kernels_created,notebook_votes,dataset_downloads,medal_rate,trend_score,sentiment_score,popularity_growth_pct,volatility_metric,innovation_score,adoption_score,risk_indicator,ai_summary,source_reference
KGL-990000,2025-06-06T00:00:00,Agent Reasoning Benchmark,TypeScript,CMP-043,Meta,United Kingdom,60,841,2224,0.211,68.58,-0.012,1.9,6.32,68.54,66.11,low,"Meta teams are discussing how typescript is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990000
KGL-990001,2025-12-10T00:00:00,Agent Reasoning Benchmark,Swift,CMP-002,Anthropic,United Kingdom,39,512,1504,0.182,35.88,0.153,3.84,7.76,71.23,35.07,low,"Analysts note that swift usage patterns on Dec 10, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990001
KGL-990002,2025-09-27T00:00:00,Cyber Incident Detection,Enterprise AI,CMP-012,AWS,United Arab Emirates,52,693,1966,0.214,60.84,0.064,4.34,11.41,89.57,82.85,low,"AWS teams are discussing how enterprise ai is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990002
KGL-990003,2026-01-16T00:00:00,Startup Growth Forecasting,COBOL,CMP-002,Anthropic,India,9,77,323,0.179,6.07,-0.069,65.0,24.35,44.69,5.0,low,"Anthropic teams are discussing how cobol is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990003
KGL-990004,2025-06-20T00:00:00,Agent Reasoning Benchmark,PyTorch,CMP-002,Anthropic,Canada,36,549,1429,0.195,46.04,0.319,2.81,13.36,73.94,49.58,low,"Developers are comparing tooling choices around pytorch as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990004
KGL-990005,2026-03-11T00:00:00,Cyber Incident Detection,Supabase,CMP-030,Weaviate,United Kingdom,41,604,1574,0.252,34.14,0.101,-2.72,8.44,89.24,25.0,low,"Weaviate teams are discussing how supabase is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990005
KGL-990006,2026-01-13T00:00:00,Startup Growth Forecasting,MongoDB,CMP-026,Confluent,Singapore,40,548,1490,0.108,41.47,0.272,-3.73,9.42,62.72,42.07,low,"Confluent teams are discussing how mongodb is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990006
KGL-990007,2025-08-22T00:00:00,Startup Growth Forecasting,Transformers,CMP-002,Anthropic,India,41,549,1485,0.216,51.74,0.405,-3.74,7.84,87.73,37.14,low,"Analysts note that transformers usage patterns on Aug 22, 2025 reflect both hype and practical deployment pressure. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990007
KGL-990008,2025-03-19T00:00:00,Startup Growth Forecasting,JavaScript,CMP-049,Mozilla,China,57,798,2147,0.149,69.65,-0.117,-2.98,9.97,72.77,74.85,low,"Developers are comparing tooling choices around javascript as budget owners ask for faster ROI and clearer governance. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990008
KGL-990009,2025-08-28T00:00:00,Agent Reasoning Benchmark,C++,CMP-063,LegacyLift Consulting,United Kingdom,42,599,1623,0.112,45.26,0.072,0.63,6.55,63.17,56.68,low,"LegacyLift Consulting teams are discussing how c++ is moving from experimentation into production buying cycles. Demand remains healthy, but platform differentiation now depends on reliability, cost control, and measurable adoption.",https://kaggle.example.com/activity/990009
